key,Latitude,Longitude,Distance,Date
7102931,27.0,-89.76,207.79,2019-07-25 16:04:41
1038248,27.01,-89.74,207.19,2019-07-25 16:04:41
2977148,27.57,-89.66,169.16,2019-07-25 16:04:52
1680880,29.03,-86.52,219.7,2019-07-25 16:05:08
1066850,29.07,-86.48,221.14,2019-07-25 16:05:08
4841813,27.02,-89.74,206.5,2019-07-25 16:07:18
924971,26.92,-90.44,214.48,2019-07-25 16:08:41
2502156,26.9,-90.41,215.63,2019-07-25 16:08:41
9419011,26.85,-90.39,218.93,2019-07-25 16:09:39
7208292,26.88,-90.38,216.81,2019-07-25 16:09:39
2741721,26.91,-90.35,214.56,2019-07-25 16:15:44
